threshold,base_value,pct_change,archetype,prevalence,n_matches
club_mismatch_top5_gap,0.25,0,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,0,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,0,club_power_mismatch,0.1524,158
club_mismatch_top5_gap,0.25,0,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,0,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,0,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,10,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,10,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,10,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,10,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,10,club_power_mismatch,0.136,141
club_mismatch_top5_gap,0.25,10,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,10,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,10,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,20,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,20,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,20,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,20,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,20,club_power_mismatch,0.136,141
club_mismatch_top5_gap,0.25,20,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,20,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,20,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,30,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,30,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,30,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,30,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,30,club_power_mismatch,0.1157,120
club_mismatch_top5_gap,0.25,30,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,30,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,30,upset_realized,0.2141,222
gen_trans_age_gap,3.0,-30,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,-30,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,-30,host_pressure,0.1263,131
gen_trans_age_gap,3.0,-30,generational_transition,0.2015,209
gen_trans_age_gap,3.0,-30,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,-30,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,-30,knockout_volatility,0.0723,75
